Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
60,0,19.89,48.0266666667,19.0333333333,45.1266666667,20.1,45.2,19.1,45.4,18.0,52.5,4.7933333333,94.79,17.89,43.96,18.7,50.76,17.1,47.4666666667,4.9,742.1333333333,91.0,5.0,40.0,3.5333333333,38.9457338722,38.9457338722
60,0,19.89,47.6333333333,19.0,45.09,20.1,45.2,19.1,45.3633333333,18.0,52.56,4.4666666667,94.1933333333,17.89,43.5666666667,18.7,50.645,17.0333333333,47.2666666667,4.85,742.2166666667,91.0,5.0,40.0,3.4666666667,39.8654412944,39.8654412944
50,0,19.8566666667,47.0633333333,19.0,45.03,20.1,45.2,19.1,45.23,18.0,52.79,4.2975,94.45,17.8566666667,43.1,18.7,50.42,17.0,46.93,4.8,742.3,91.0,5.0,40.0,3.4,22.763722681,22.763722681
60,0,19.79,46.6566666667,19.0,44.9666666667,20.1,45.1633333333,19.1,45.09,17.9266666667,52.79,4.0633333333,94.1933333333,17.79,42.7666666667,18.6333333333,50.1566666667,17.0666666667,46.79,4.8833333333,742.3833333333,91.0,5.0,38.1666666667,3.4833333333,20.5042041023,20.5042041023
50,0,19.79,46.3333333333,19.0,44.8266666667,20.1,45.09,19.1,44.9666666667,17.89,52.76,4.03,94.6666666667,17.79,42.43,18.6666666667,50.0266666667,17.0333333333,46.59,4.9666666667,742.4666666667,91.0,5.0,36.3333333333,3.5666666667,40.5435121385,40.5435121385
30,0,19.79,46.0666666667,19.0,44.645,20.1,45.1633333333,19.0333333333,44.7666666667,17.89,52.0333333333,4.09,95.0,17.79,42.23,18.6,49.8266666667,17.0333333333,46.39,5.05,742.55,91.0,5.0,34.5,3.65,30.2466645138,30.2466645138
40,0,19.76,45.8633333333,18.9633333333,44.56,20.0333333333,44.9633333333,19.0,44.6633333333,18.0,50.9,4.1233333333,95.3966666667,17.7,41.9666666667,18.6,49.6633333333,17.0,46.1633333333,5.1333333333,742.6333333333,91.0,5.0,32.6666666667,3.7333333333,32.7361964039,32.7361964039
30,0,19.7,45.79,18.9633333333,44.4333333333,20.0,44.9,19.0666666667,44.59,18.0,50.4266666667,4.2633333333,95.7966666667,17.7,41.8266666667,18.6,49.59,17.0,46.03,5.2166666667,742.7166666667,91.0,5.0,30.8333333333,3.8166666667,17.6598635968,17.6598635968
260,0,19.7,45.6633333333,18.89,44.29,20.0,44.9,19.1,44.6933333333,18.0,49.93,4.4633333333,96.26,17.7,41.6633333333,18.6,49.4666666667,17.0,45.8633333333,5.3,742.8,91.0,5.0,29.0,3.9,13.5130072944,13.5130072944
110,10,18.89,45.0,18.15,44.59,19.6,44.2233333333,18.39,44.1633333333,18.9666666667,83.5233333333,5.59,79.3333333333,18.1,46.2633333333,18.6,53.14,17.2,50.4,5.1,753.9,89.0,6.0,40.0,3.4,20.892812917,20.892812917
80,10,18.79,44.6333333333,18.1,44.1966666667,19.5333333333,43.83,18.39,44.09,19.76,73.5233333333,5.59,79.35,18.1,45.6566666667,18.6,52.8266666667,17.2,50.2233333333,5.0833333333,753.9666666667,89.1666666667,5.8333333333,36.6666666667,3.4,42.7000751137,42.7000751137
50,0,18.79,44.5,18.1,43.9666666667,19.5,43.9,18.39,44.09,19.3,66.79,5.59,79.4,18.0,44.8333333333,18.6,52.3,17.2,49.9633333333,5.0666666667,754.0333333333,89.3333333333,5.6666666667,33.3333333333,3.4,17.3615338863,17.3615338863
50,0,18.79,44.59,18.05,43.845,19.5,43.9666666667,18.39,43.9666666667,18.89,63.09,5.59,79.5933333333,17.945,44.295,18.55,51.895,17.2,49.6,5.05,754.1,89.5,5.5,30.0,3.4,6.5721160267,6.5721160267
50,0,18.79,44.53,18.1,43.8175,19.5,44.0,18.3233333333,43.9,18.615,59.8633333333,5.59,79.8966666667,17.89,43.1583333333,18.5,51.4975,17.2,49.1933333333,5.0333333333,754.1666666667,89.6666666667,5.3333333333,26.6666666667,3.4,18.7243432272,18.7243432272
40,0,18.79,44.3633333333,18.1,43.79,19.5,44.0,18.29,43.79,18.5,58.83,5.59,80.09,17.89,42.838125,18.5,51.0666666667,17.1,48.7966666667,5.0166666667,754.2333333333,89.8333333333,5.1666666667,23.3333333333,3.4,31.5710114199,31.5710114199
40,0,18.79,44.23,18.0,43.645,19.5,43.9,18.29,43.79,18.3566666667,57.8,5.59,79.8966666667,17.89,42.514,18.5,50.9,17.1,48.4633333333,5.0,754.3,90.0,5.0,20.0,3.4,19.5039466838,19.5039466838
30,0,18.79,44.06,18.0,43.7,19.5,43.9,18.29,43.7,18.29,57.245,5.59,79.4966666667,17.79,41.9666666667,18.39,50.56,17.1,48.1,5.0,754.45,89.6666666667,4.8333333333,21.5,3.3666666667,34.4813924399,34.4813924399
180,20,18.79,43.9333333333,18.0,43.45,19.5,43.9666666667,18.29,43.7,18.2225,56.4725,5.56,79.4,17.79,41.7666666667,18.39,50.2925,17.1,47.8,5.0,754.6,89.3333333333,4.6666666667,23.0,3.3333333333,34.4706706237,34.4706706237
350,30,18.79,43.9,18.0,43.3633333333,19.4266666667,43.7666666667,18.23,43.6566666667,18.2,55.8,5.5,79.4,17.76,41.43,18.39,50.03,17.1,47.4,5.0,754.75,89.0,4.5,24.5,3.3,27.745031158,27.745031158
350,20,18.79,43.9,18.0,43.3633333333,19.39,43.59,18.4966666667,43.8633333333,18.2,55.7333333333,5.4666666667,79.06,17.7,41.23,18.29,49.76,17.1,47.0666666667,5.0,754.9,88.6666666667,4.3333333333,26.0,3.2666666667,21.4812203893,21.4812203893
300,30,18.79,44.0,18.0,43.4,19.39,43.59,18.8233333333,44.0,18.26,56.66,5.4,79.1266666667,17.7,41.0266666667,18.29,49.6266666667,17.0,46.7233333333,5.0,755.05,88.3333333333,4.1666666667,27.5,3.2333333333,22.6360031404,22.6360031404
400,20,18.8566666667,44.06,18.0666666667,43.4666666667,19.39,43.59,19.03,44.0,18.29,56.6666666667,5.5,79.1566666667,17.7,40.8266666667,18.29,49.3633333333,17.0,46.42,5.0,755.2,88.0,4.0,29.0,3.2,15.3221629444,15.3221629444
390,30,18.89,44.23,18.1333333333,43.59,19.4633333333,43.6633333333,19.46,44.06,18.29,56.4666666667,5.5,79.09,17.7,40.645,18.29,49.23,17.0,46.1566666667,5.0,755.3166666667,88.0,4.1666666667,30.8333333333,3.1833333333,28.9176972001,28.9176972001
290,30,18.9975,44.3975,18.26,43.6633333333,19.5,43.7,19.7266666667,43.9333333333,18.2,55.79,5.59,78.9933333333,17.73,41.6666666667,18.26,49.1333333333,17.0,45.8633333333,5.0,755.4333333333,88.0,4.3333333333,32.6666666667,3.1666666667,45.5185152125,45.5185152125
60,30,19.1,44.5,18.3233333333,43.5,19.5,43.7,20.0666666667,43.6633333333,18.1333333333,55.73,5.59,78.66,17.8566666667,42.2666666667,18.2,48.9333333333,17.0,45.73,5.0,755.55,88.0,4.5,34.5,3.15,7.1302041062,7.1302041062
70,20,19.1333333333,44.5,18.4633333333,43.5,19.4266666667,43.6266666667,20.2,43.2566666667,18.1,55.49,5.59,79.4666666667,17.79,42.4666666667,18.26,49.1633333333,17.0,45.4666666667,5.0,755.6666666667,88.0,4.6666666667,36.3333333333,3.1333333333,20.7523812656,20.7523812656
110,30,19.2,44.36,18.5333333333,43.43,19.4633333333,43.6633333333,20.1666666667,43.0266666667,18.0333333333,55.1566666667,5.59,79.9933333333,17.73,42.2666666667,18.26,49.2233333333,17.0,45.5266666667,5.0,755.7833333333,88.0,4.8333333333,38.1666666667,3.1166666667,10.5462875334,10.5462875334
90,20,19.2,44.06,18.6,43.23,19.39,43.59,20.1,42.7666666667,18.0,54.69,5.45,80.39,17.7,41.93,18.26,49.5266666667,17.1,46.3,5.0,755.9,88.0,5.0,40.0,3.1,21.4375185431,21.4375185431
70,10,18.39,42.59,17.79,41.9,19.79,43.4,18.0,42.53,17.29,61.9333333333,3.8633333333,88.83,18.0,43.53,18.79,50.56,16.745,48.345,4.0,749.5,89.0,9.0,28.0,2.4,46.4241613168,46.4241613168
360,20,18.39,42.8633333333,17.79,41.9666666667,19.76,43.3633333333,18.0,42.59,17.29,61.7333333333,3.79,88.6233333333,18.0,43.6566666667,18.8233333333,50.73,16.79,48.4666666667,3.95,749.4,89.5,8.8333333333,26.6666666667,2.4166666667,11.5233207121,11.5233207121
400,10,18.39,43.36,17.79,42.23,19.7,43.2225,18.0666666667,42.9266666667,17.29,61.1933333333,3.79,89.13,18.0,42.995,18.89,50.6566666667,16.79,48.3266666667,3.9,749.3,90.0,8.6666666667,25.3333333333,2.4333333333,11.0906877206,11.0906877206
70,10,18.39,43.9666666667,17.79,42.43,19.6333333333,43.1266666667,18.4,43.26,17.23,60.5266666667,3.79,89.9233333333,17.89,42.3633333333,18.79,49.99,16.76,48.0266666667,3.85,749.2,90.5,8.5,24.0,2.45,21.0107946652,21.0107946652
70,0,18.39,44.09,17.79,42.6266666667,19.6,43.1633333333,18.73,43.1233333333,17.23,60.0666666667,3.79,90.7266666667,17.89,41.9633333333,18.73,49.6566666667,16.7,47.6933333333,3.8,749.1,91.0,8.3333333333,22.6666666667,2.4666666667,16.6760402848,16.6760402848
390,0,18.39,44.0225,17.79,42.7,19.5333333333,43.09,18.79,42.53,17.2,59.6333333333,3.79,91.2975,17.89,41.5266666667,18.7,49.3333333333,16.7,47.2966666667,3.75,749.0,91.5,8.1666666667,21.3333333333,2.4833333333,43.2403775165,43.2403775165
100,0,18.39,43.9333333333,17.76,42.7,19.5,43.0,18.79,42.1333333333,17.2,59.36,3.79,91.73,17.8233333333,41.1933333333,18.7,49.0666666667,16.7,46.9633333333,3.7,748.9,92.0,8.0,20.0,2.5,8.8597267866,8.8597267866
80,10,18.39,43.76,17.7,42.6266666667,19.5,43.0,18.73,42.0,17.2,58.995,3.79,92.2266666667,17.79,40.8633333333,18.6,48.6333333333,16.7,46.6333333333,3.3,749.0,93.0,7.1666666667,22.5,2.25,24.6659364318,24.6659364318
70,0,18.39,43.7,17.7,42.59,19.4633333333,42.9,18.7,42.0,17.2,58.7,3.8633333333,92.96,17.79,40.6566666667,18.6666666667,48.5,16.7,46.36,2.9,749.1,94.0,6.3333333333,25.0,2.0,21.4856683393,21.4856683393
170,10,18.39,43.59,17.7,42.53,19.39,42.8266666667,18.7,41.9333333333,17.2,58.5,3.79,93.6233333333,17.79,40.4666666667,18.6,48.1333333333,16.7,46.03,2.5,749.2,95.0,5.5,27.5,1.75,28.21319215,28.21319215
360,0,18.39,43.53,17.7,42.5,19.3566666667,42.6333333333,18.65,41.79,17.2,56.5666666667,3.73,93.6233333333,17.79,40.3266666667,18.5333333333,47.86,16.7,46.03,2.1,749.3,96.0,4.6666666667,30.0,1.5,32.8081157757,32.8081157757
180,10,18.39,43.3633333333,17.7,42.4333333333,19.29,42.5,18.6,41.6633333333,17.2,55.36,3.1,93.0666666667,17.7,40.06,18.5,47.6,16.7,46.0,1.7,749.4,97.0,3.8333333333,32.5,1.25,48.9277031389,48.9277031389
130,0,18.39,43.29,17.79,42.29,19.29,42.4,18.6,41.53,17.2,53.8966666667,2.7666666667,93.4666666667,17.7,39.86,18.5,47.2675,16.7,45.9333333333,1.3,749.5,98.0,3.0,35.0,1.0,11.6080574226,11.6080574226
70,20,18.4266666667,43.3266666667,17.79,42.23,19.29,42.4,18.5666666667,41.4,17.26,52.8233333333,2.5,93.7266666667,17.6333333333,39.59,18.4266666667,46.89,16.7,45.8633333333,1.4,749.3666666667,97.5,3.5,35.8333333333,1.0333333333,12.0405798079,12.0405798079
70,10,18.5,43.4,17.9266666667,42.2,19.29,42.4,18.5,41.4,17.29,51.6966666667,2.4333333333,94.06,17.6333333333,39.39,18.39,46.6333333333,16.7,45.73,1.5,749.2333333333,97.0,4.0,36.6666666667,1.0666666667,39.8418041994,39.8418041994
180,20,18.5333333333,43.4,18.025,42.1175,19.29,42.4,18.5,41.5966666667,17.3566666667,50.8966666667,2.3633333333,94.16,17.6,39.1633333333,18.39,46.4333333333,16.7,45.5,1.6,749.1,96.5,4.5,37.5,1.1,41.5835857508,41.5835857508
170,20,18.5333333333,43.2666666667,18.1,42.09,19.1666666667,42.0,18.5666666667,41.8633333333,17.39,50.0333333333,2.29,94.3666666667,17.6,39.03,18.3566666667,46.2233333333,16.745,45.5,1.7,748.9666666667,96.0,5.0,38.3333333333,1.1333333333,5.675385322,5.675385322
390,30,18.6,43.29,18.23,42.03,19.1666666667,42.3333333333,18.6333333333,42.0666666667,17.4633333333,49.5,2.29,94.6233333333,17.6,38.8633333333,18.29,46.09,16.79,45.645,1.8,748.8333333333,95.5,5.5,39.1666666667,1.1666666667,48.1656008167,48.1656008167
420,20,18.6666666667,43.49,18.29,42.09,19.23,42.5666666667,18.7,42.26,17.5,49.3266666667,2.29,94.69,17.5333333333,38.79,18.29,45.9666666667,16.79,46.0266666667,1.9,748.7,95.0,6.0,40.0,1.2,7.3661449831,7.3661449831
70,10,22.0,39.6175,21.0,39.3266666667,21.29,43.6633333333,18.1333333333,42.29,18.1,53.79,2.5,92.5633333333,18.4266666667,42.9666666667,19.1333333333,49.03,17.39,47.7,3.2,752.3,76.0,9.0,40.0,-0.6,32.3033638415,32.3033638415
50,10,21.9266666667,39.9,21.0,39.4,21.26,43.56,18.1333333333,42.29,18.1,53.89,2.5,91.8333333333,18.5,43.4333333333,19.1333333333,49.2233333333,17.4266666667,47.7,3.2,752.3833333333,76.3333333333,8.8333333333,40.0,-0.55,27.0989639917,27.0989639917
50,10,21.89,40.2233333333,20.9633333333,39.4,21.2,43.5,18.1,42.29,18.1,54.3633333333,2.4333333333,90.0266666667,18.5,43.1633333333,19.1666666667,49.1633333333,17.4266666667,47.5666666667,3.2,752.4666666667,76.6666666667,8.6666666667,40.0,-0.5,16.7660379899,16.7660379899
50,10,21.89,40.2966666667,20.89,39.4666666667,21.2,43.5,18.1,42.29,18.0,54.8,2.4,88.4666666667,18.5,42.89,19.1,49.03,17.4633333333,47.4,3.2,752.55,77.0,8.5,40.0,-0.45,31.8954361603,31.8954361603
50,0,21.8566666667,40.3633333333,20.89,39.5,21.2,43.5,18.1,42.29,18.0,55.1333333333,2.4,88.5333333333,18.4633333333,42.6333333333,19.1,48.69,17.4633333333,47.2,3.2,752.6333333333,77.3333333333,8.3333333333,40.0,-0.4,41.460053192,41.460053192
40,10,21.79,40.0966666667,20.8233333333,39.0266666667,21.1333333333,42.3333333333,18.1,42.29,18.0,55.4633333333,2.4,87.4333333333,18.39,42.4333333333,19.0666666667,48.43,17.39,46.93,3.2,752.7166666667,77.6666666667,8.1666666667,40.0,-0.35,35.4487599223,35.4487599223
50,10,21.6333333333,36.6666666667,20.2966666667,35.6966666667,20.6666666667,38.3933333333,18.1,42.29,18.0,55.7233333333,2.4,86.2266666667,18.39,42.1633333333,19.0,48.23,17.39,46.73,3.2,752.8,78.0,8.0,40.0,-0.3,17.4275175435,17.4275175435
50,10,21.36,34.4,19.63,33.29,19.5933333333,35.79,18.1,42.29,18.0,55.9333333333,2.4,87.0,18.39,42.03,19.0,48.06,17.39,46.45,3.2,752.8666666667,78.3333333333,8.3333333333,40.0,-0.25,6.4163937466,6.4163937466
150,10,21.0666666667,33.4333333333,19.15,32.95,19.3266666667,36.53,18.1,42.4,17.9266666667,56.06,2.4333333333,86.99,18.29,41.76,19.0,47.9333333333,17.39,46.26,3.2,752.9333333333,78.6666666667,8.6666666667,40.0,-0.2,19.4039244438,19.4039244438
390,20,21.0,33.56,19.3233333333,33.53,19.6633333333,37.09,18.1,42.3266666667,17.89,56.1333333333,2.5,85.3966666667,18.29,41.3666666667,18.9266666667,47.7233333333,17.39,46.1266666667,3.2,753.0,79.0,9.0,40.0,-0.15,46.408877417,46.408877417
390,10,20.89,33.86,19.53,33.99,19.93,37.2233333333,18.2633333333,42.4666666667,17.89,55.8,2.53,85.5666666667,18.245,40.295,18.9266666667,47.39,17.29,45.7233333333,3.2,753.0666666667,79.3333333333,9.3333333333,40.0,-0.1,40.2195385657,40.2195385657
380,10,20.89,34.1933333333,19.66,34.618,20.05,37.395,18.6566666667,42.3266666667,17.89,55.4,2.59,85.1666666667,18.1666666667,39.49,18.89,46.93,17.29,45.39,3.2,753.1333333333,79.6666666667,9.6666666667,40.0,-0.05,37.9348403541,37.9348403541
400,10,20.79,34.6666666667,19.7,34.7666666667,20.1,37.6566666667,19.3,42.2,17.89,55.0,2.56,85.1333333333,18.1,39.1566666667,18.89,46.6566666667,17.29,44.9,3.2,753.2,80.0,10.0,40.0,0.0,47.8624944459,47.8624944459
370,10,20.79,35.1933333333,19.7,35.1,20.1,37.93,19.6933333333,41.9266666667,17.89,54.6333333333,2.5,85.1333333333,18.1,38.7966666667,18.8566666667,46.0633333333,17.29,44.5,3.2,753.2833333333,80.3333333333,9.8333333333,40.0,0.05,49.6956939343,49.6956939343
310,10,20.76,35.9266666667,19.79,35.4633333333,20.2,38.2666666667,20.0666666667,41.3633333333,17.8233333333,54.3,2.59,85.1933333333,18.1,38.53,18.79,45.6566666667,17.29,44.2,3.2,753.3666666667,80.6666666667,9.6666666667,40.0,0.1,30.3220497328,30.3220497328
40,10,20.76,36.4,19.8566666667,35.7966666667,20.2,38.5266666667,20.3266666667,41.1566666667,17.8566666667,53.9,2.59,85.0,18.0666666667,38.1933333333,18.79,45.3333333333,17.29,44.1266666667,3.2,753.45,81.0,9.5,40.0,0.15,1.4688582742,1.4688582742
50,0,20.79,36.6933333333,19.9266666667,36.39,20.2,38.6633333333,20.5,40.8,17.84,53.57,2.7,84.6266666667,18.0,37.9333333333,18.73,45.0666666667,17.29,44.06,3.2,753.5333333333,81.3333333333,9.3333333333,40.0,0.2,16.8222678942,16.8222678942
70,10,20.79,37.0266666667,20.0,36.7233333333,20.2,38.7233333333,20.3566666667,40.59,17.79,53.3266666667,2.76,84.3666666667,18.0,37.76,18.7,44.8333333333,17.29,43.9333333333,3.2,753.6166666667,81.6666666667,9.1666666667,40.0,0.25,13.8829043368,13.8829043368
60,10,20.89,37.36,20.0333333333,37.0666666667,20.2,38.9633333333,20.29,40.4633333333,17.79,53.06,2.73,83.06,18.0,37.6266666667,18.7,44.6266666667,17.29,43.7233333333,3.2,753.7,82.0,9.0,40.0,0.3,5.8598775067,5.8598775067
50,0,21.29,40.0,20.5,39.76,20.6,42.2,19.29,42.79,18.89,50.59,0.6333333333,95.03,18.6,41.9666666667,19.76,49.1266666667,17.89,47.29,1.0,762.4,96.0,3.0,63.0,0.4,18.5897868592,18.5897868592
50,0,21.29,40.03,20.4633333333,39.76,20.7,42.29,19.29,42.79,18.89,50.59,0.7666666667,95.1566666667,18.6,42.2,19.7,49.26,17.89,47.3266666667,1.0333333333,762.4166666667,96.0,3.0,63.0,0.4333333333,39.9407274788,39.9407274788
220,0,21.23,40.03,20.39,39.7,20.6333333333,42.23,19.26,42.76,18.89,50.59,0.8333333333,95.19,18.6,42.2,19.76,49.4333333333,17.89,47.4,1.0666666667,762.4333333333,96.0,3.0,63.0,0.4666666667,2.9157196288,2.9157196288
390,10,21.2,39.8633333333,20.3566666667,39.56,20.6666666667,42.26,19.2,42.76,18.89,50.56,0.9,95.19,18.6,42.2,19.76,49.56,17.89,47.4,1.1,762.45,96.0,3.0,63.0,0.5,31.1717854696,31.1717854696
380,10,21.2,39.79,20.29,39.5,20.6,42.2,19.5966666667,43.03,18.84,49.77,0.8333333333,95.19,18.6,42.2,19.79,49.5,17.89,47.3266666667,1.1333333333,762.4666666667,96.0,3.0,63.0,0.5333333333,17.832070333,17.832070333
390,10,21.2,39.9633333333,20.315,39.55,20.6333333333,42.23,20.0633333333,43.03,18.9633333333,48.4666666667,0.9666666667,95.1233333333,18.6,42.1633333333,19.73,49.5,17.89,47.29,1.1666666667,762.4833333333,96.0,3.0,63.0,0.5666666667,29.3963966193,29.3963966193
390,10,21.2,40.2233333333,20.39,39.76,20.7,42.23,20.545,42.95,19.1333333333,47.5633333333,1.1333333333,95.19,18.6,42.09,19.7,49.4666666667,17.89,47.23,1.2,762.5,96.0,3.0,63.0,0.6,45.6892321003,45.6892321003
240,10,21.29,40.53,20.4266666667,40.0666666667,20.7,42.1633333333,20.9933333333,42.8633333333,19.2,47.0966666667,1.2,95.19,18.6,42.0,19.76,49.4,17.89,47.1633333333,1.2166666667,762.55,96.1666666667,3.0,63.0,0.6333333333,9.972109145,9.972109145
40,10,21.3566666667,40.6633333333,20.5666666667,40.26,20.7,42.09,21.26,42.6566666667,19.3233333333,46.6933333333,1.1,95.19,18.6,42.0,19.7,49.4333333333,17.89,47.09,1.2333333333,762.6,96.3333333333,3.0,63.0,0.6666666667,18.4541811934,18.4541811934
70,10,21.5,40.7,20.6333333333,40.3266666667,20.79,42.0,21.3566666667,42.5,19.4633333333,46.5,1.1666666667,95.19,18.6,42.2666666667,19.76,49.5,17.89,47.0,1.25,762.65,96.5,3.0,63.0,0.7,33.5704163881,33.5704163881
50,0,21.5,41.0333333333,20.7,40.4666666667,20.73,42.0,21.23,42.5,19.5333333333,46.3633333333,1.15,95.245,18.6,42.4666666667,19.7,49.5,17.8233333333,46.86,1.2666666667,762.7,96.6666666667,3.0,63.0,0.7333333333,38.4072275367,38.4072275367
50,0,21.5,41.8,20.79,40.59,20.6666666667,42.06,21.1666666667,42.6266666667,19.6,46.23,1.0333333333,95.19,18.6,42.5,19.7,49.56,17.89,46.8633333333,1.2833333333,762.75,96.8333333333,3.0,63.0,0.7666666667,26.1124138022,26.1124138022
70,0,21.5666666667,42.5266666667,20.8566666667,40.7233333333,20.6666666667,42.2666666667,21.0333333333,42.6266666667,19.7,46.26,1.2266666667,95.2633333333,18.6,42.56,19.7,49.5,17.89,46.73,1.3,762.8,97.0,3.0,63.0,0.8,41.4037509006,41.4037509006
60,0,21.6333333333,42.1,20.9266666667,40.79,20.7,42.4,20.89,42.6633333333,19.76,46.26,1.39,95.3,18.6,42.59,19.7,49.53,17.89,46.5266666667,1.4166666667,762.8833333333,96.6666666667,3.0,55.8333333333,0.8666666667,26.354809734,26.354809734
70,0,21.7,41.6333333333,21.0,40.53,20.7,42.2666666667,20.8233333333,42.59,19.8233333333,45.9233333333,1.4633333333,95.3666666667,18.6,42.59,19.6333333333,49.4633333333,17.89,46.3725,1.5333333333,762.9666666667,96.3333333333,3.0,48.6666666667,0.9333333333,25.0877412502,25.0877412502
60,0,21.745,40.995,21.0333333333,40.4,20.7,42.09,20.7,42.59,19.89,45.39,1.6333333333,95.4333333333,18.6,42.53,19.6333333333,49.4333333333,17.89,46.23,1.65,763.05,96.0,3.0,41.5,1.0,20.9986659931,20.9986659931
50,0,21.79,40.79,21.1,40.4,20.7,42.09,20.7,42.59,20.0,45.0266666667,1.76,95.5,18.6,42.5,19.7,49.5,17.79,45.9666666667,1.7666666667,763.1333333333,95.6666666667,3.0,34.3333333333,1.0666666667,18.114914163,18.114914163
60,0,21.8566666667,40.8633333333,21.15,40.4,20.79,42.09,20.6,42.59,20.0666666667,44.9,1.6666666667,95.4666666667,18.6,42.4333333333,19.6,49.5,17.79,45.8266666667,1.8833333333,763.2166666667,95.3333333333,3.0,27.1666666667,1.1333333333,6.1714455136,6.1714455136
60,0,21.89,40.79,21.2,40.4,20.79,42.09,20.5333333333,42.59,20.1,44.79,1.5333333333,95.4666666667,18.6,42.6933333333,19.6,49.5,17.79,45.76,2.0,763.3,95.0,3.0,20.0,1.2,14.9080764735,14.9080764735
170,0,20.89,40.5,20.1,39.4666666667,21.1,42.79,19.7,42.0,18.2,53.59,0.6333333333,96.03,19.39,41.2,20.5,49.5,17.8233333333,45.9633333333,0.5,764.3,96.0,3.0,28.0,-0.1,13.6627620901,13.6627620901
400,0,20.89,40.5,20.1,39.5,21.1,42.73,19.7,42.0,18.2,53.59,0.6,96.1233333333,19.39,41.2,20.5,49.4,17.8233333333,46.03,0.2833333333,764.3666666667,96.0,2.8333333333,27.3333333333,-0.3166666667,33.8553050766,33.8553050766
390,10,20.79,40.53,20.0333333333,39.4333333333,21.1,42.76,19.8933333333,42.1266666667,18.2,53.59,0.5333333333,96.19,19.39,41.2,20.5,49.4,17.89,46.09,0.0666666667,764.4333333333,96.0,2.6666666667,26.6666666667,-0.5333333333,17.3973734025,17.3973734025
370,10,20.79,40.7233333333,20.0,39.4333333333,21.1,42.6266666667,20.2933333333,42.1266666667,18.2,53.59,0.2666666667,96.19,19.39,41.2,20.5,49.29,17.865,46.0425,-0.15,764.5,96.0,2.5,26.0,-0.75,47.351026081,47.351026081
